Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,,ST4000DM,000-1F2168 4TB,39,42.6,34,https://usb.userbenchmark.com/SpeedTest/12113/ST4000DM-000-1F2168
USB,,Innostor,Innostor 256GB,40,41.8,21,https://usb.userbenchmark.com/SpeedTest/10725/Innostor-Innostor
USB,,WD,My Book 1230 2TB,41,41.1,4200,https://usb.userbenchmark.com/SpeedTest/7450/WD-My-Book-1230
USB,PSF64GXPUSB,Patriot,Supersonic Xpress USB 3.0 64GB,42,40.9,161,https://usb.userbenchmark.com/SpeedTest/3811/Patriot-Memory
USB,,WD,My Book 1230 3TB,43,40.2,6537,https://usb.userbenchmark.com/SpeedTest/9102/WD-My-Book-1230
USB,,asmedia,ASM1053E 2TB,44,40.2,9,https://usb.userbenchmark.com/SpeedTest/7201/asmedia-ASM1053E
USB,,Kingston,DT Ultimate 16GB,45,39.4,25,https://usb.userbenchmark.com/SpeedTest/2156/Kingston-DT-Ultimate
USB,SDCZ800-064G,SanDisk,Extreme Go USB 3.1 64GB,46,39.2,1722,https://usb.userbenchmark.com/SpeedTest/233900/SanDisk-Extreme
USB,,Kingston,DT HyperX 3.0 128GB,47,38.6,55,https://usb.userbenchmark.com/SpeedTest/6316/Kingston-DT-HyperX-30
USB,,asmedia,ASM1053 2TB,48,38.4,87,https://usb.userbenchmark.com/SpeedTest/13016/asmedia-ASM1053
USB,,TOSHIBA,MQ01ABD050 500GB,49,37.9,3,https://usb.userbenchmark.com/SpeedTest/3559/TOSHIBA-MQ01ABD050
USB,,LaCie,d2 Quadra v3C 2TB,50,37.8,30,https://usb.userbenchmark.com/SpeedTest/6946/LaCie-d2-Quadra-v3C
USB,,I-O,DATA HDCA-UT 2TB,51,37.2,17,https://usb.userbenchmark.com/SpeedTest/2894/I-O-DATA-HDCA-UT
USB,,,MXUB3SES-16G 16GB,52,37.1,10,https://usb.userbenchmark.com/SpeedTest/6560/MXUB3SES-16G
USB,,WD,My Book 1140 3TB,53,37,4812,https://usb.userbenchmark.com/SpeedTest/1579/WD-My-Book-1140
USB,,TrekStor,DS maxi light 30 2TB,54,37,43,https://usb.userbenchmark.com/SpeedTest/5132/TrekStor-DS-maxi-light-30
USB,,WD,My Book 1140 4TB,55,36.9,1051,https://usb.userbenchmark.com/SpeedTest/4814/WD-My-Book-1140
USB,,Corsair,Voyager GT 3.0 128GB,56,36,51,https://usb.userbenchmark.com/SpeedTest/4631/Corsair-Voyager-GT-30
USB,,WD,My Book 3.0 1123 1TB,57,35.8,165,https://usb.userbenchmark.com/SpeedTest/4862/WD-My-Book-30-1123
USB,,Initio,INIC-3609 500GB,58,35.8,114,https://usb.userbenchmark.com/SpeedTest/6861/Initio-INIC-3609
USB,,Seagate,Backup+ Desk 1TB,59,35.2,161,https://usb.userbenchmark.com/SpeedTest/4767/Seagate-Backup--Desk
USB,LJDNV64GCRBEU,Lexar,JumpDrive Triton USB 3.0 64GB,60,35,7,https://usb.userbenchmark.com/Lexar-JumpDrive-Triton-USB-30-64GB/Rating/1464
USB,LJDNV32GCRBEU,Lexar,JumpDrive Triton USB 3.0 32GB,61,34.8,43,https://usb.userbenchmark.com/Lexar-JumpDrive-Triton-USB-30-32GB/Rating/1465
USB,,PNY,USB 3.0 FD 256GB,62,34.8,330,https://usb.userbenchmark.com/SpeedTest/11237/PNY-USB-30-FD
USB,,HGST,HTS 545050A7E680 500GB,63,34.3,122,https://usb.userbenchmark.com/SpeedTest/9890/HGST-HTS-545050A7E680
USB,AUE700-64G-CBK,Adata,DashDrive Elite UE700 USB 3.0 64GB,64,33.9,342,https://usb.userbenchmark.com/Adata-DashDrive-Elite-UE700-USB-30-64GB/Rating/1562
USB,LJDP20-32GCRBNA,Lexar,JumpDrive P20 USB 3.0 32GB,65,33.8,209,https://usb.userbenchmark.com/Lexar-JumpDrive-P20-USB-30-32GB/Rating/3527
USB,LJDP20-32GCRBEU,Lexar,JumpDrive P20 USB 3.0 32GB,65,33.8,209,https://usb.userbenchmark.com/Lexar-JumpDrive-P20-USB-30-32GB/Rating/3527
USB,,WD,My Passport 0816 500GB,66,33.6,14,https://usb.userbenchmark.com/SpeedTest/9999/WD-My-Passport-0816
USB,9000300,Lacie,XtremKey USB 3.0 32GB,67,33.6,5,https://usb.userbenchmark.com/Lacie-XtremKey-USB-30-32GB/Rating/1566
USB,LJDP10-16GCRBEU,Lexar,JumpDrive P10 USB 3.0 16GB,68,33.5,38,https://usb.userbenchmark.com/Lexar-JumpDrive-P10-USB-30-16GB/Rating/1477
